transaction_id,student_id,date,time,merchant,category,amount
T0000065,20220104,2026-03-15,12:23:00,二食堂-大众窗口,食堂,13.48
T0000066,20250107,2026-03-06,18:06:00,二食堂-大众窗口,食堂,13.71
T0000067,20250023,2026-03-20,08:44:00,一食堂-大众窗口,食堂,8.69
T0000068,20240086,2026-03-04,11:44:00,二食堂-大众窗口,食堂,10.25
T0000069,20230053,2026-03-20,12:03:00,一食堂-大众窗口,食堂,14.49
T0000070,20250011,2026-03-20,12:53:00,二食堂-大众窗口,食堂,10.89
T0000071,20220072,2026-03-09,12:50:00,一食堂-风味窗口,食堂,19.83
T0000072,20240002,2026-03-12,21:59:00,便利店,超市,12.59
T0000073,20220044,2026-03-12,12:30:00,一食堂-大众窗口,食堂,9.58
T0000074,20230053,2026-03-05,18:00:00,一食堂-风味窗口,食堂,14.64
T0000075,20250091,2026-03-08,17:12:00,一食堂-大众窗口,食堂,12.69
T0000076,20230089,2026-03-20,08:28:00,二食堂-大众窗口,食堂,11.24
T0000077,20220056,2026-03-19,12:24:00,二食堂-面食窗口,食堂,10.61
T0000078,20230061,2026-03-10,13:56:00,一食堂-风味窗口,食堂,18.27
T0000079,20230093,2026-03-08,08:25:00,二食堂-大众窗口,食堂,14.31
T0000080,20240078,2026-03-20,13:15:00,一食堂-大众窗口,食堂,9.23
T0000081,20230033,2026-03-10,10:09:00,便利店,超市,3.15
T0000082,20240042,2026-03-14,12:22:00,二食堂-大众窗口,食堂,8.73
T0000083,20230033,2026-03-09,18:34:00,二食堂-面食窗口,食堂,17.74
T0000084,20240118,2026-03-12,11:20:00,二食堂-大众窗口,食堂,10.05
T0000085,20220092,2026-03-21,18:02:00,二食堂-面食窗口,食堂,14.69
T0000086,20250103,2026-03-12,18:05:00,一食堂-大众窗口,食堂,10.56
T0000087,20240030,2026-03-09,17:00:00,二食堂-大众窗口,食堂,10.17
T0000088,20230061,2026-03-02,11:46:00,一食堂-大众窗口,食堂,8.9
T0000089,20220008,2026-03-06,07:41:00,二食堂-面食窗口,食堂,13.54
T0000090,20240054,2026-03-02,18:10:00,二食堂-面食窗口,食堂,14.19
T0000091,20230013,2026-03-08,13:05:00,一食堂-风味窗口,食堂,14.73
T0000092,20250075,2026-03-18,19:55:00,咖啡店,饮品,22.33
T0000093,20230109,2026-03-13,08:13:00,二食堂-大众窗口,食堂,10.19
T0000094,20250075,2026-03-06,11:24:00,二食堂-面食窗口,食堂,14.35
T0000095,20230045,2026-03-08,18:40:00,一食堂-大众窗口,食堂,10.93
T0000096,20250051,2026-03-19,07:32:00,一食堂-大众窗口,食堂,12.62
T0000097,20250059,2026-03-07,18:19:00,一食堂-大众窗口,食堂,10.81
T0000098,20230013,2026-03-08,18:45:00,二食堂-大众窗口,食堂,8.38
T0000099,20220048,2026-03-12,08:17:00,二食堂-面食窗口,食堂,14.11
T0000100,20250095,2026-03-04,17:25:00,一食堂-风味窗口,食堂,12.62
T0000101,20240006,2026-03-16,13:15:00,一食堂-大众窗口,食堂,12.54
T0000102,20240054,2026-03-16,18:01:00,二食堂-大众窗口,食堂,13.82
T0000103,20250115,2026-03-17,12:00:00,二食堂-面食窗口,食堂,10.62
T0000104,20220052,2026-03-22,18:48:00,一食堂-风味窗口,食堂,21.54
T0000105,20230021,2026-03-12,07:31:00,一食堂-风味窗口,食堂,18.62
T0000106,20240054,2026-03-07,07:53:00,二食堂-大众窗口,食堂,9.68
T0000107,20240026,2026-03-18,12:53:00,二食堂-面食窗口,食堂,12.74
T0000108,20250067,2026-03-20,18:56:00,一食堂-风味窗口,食堂,16.29
T0000109,20240002,2026-03-11,11:00:00,二食堂-面食窗口,食堂,13.89
T0000110,20220048,2026-03-19,12:04:00,一食堂-风味窗口,食堂,14.2
T0000111,20230105,2026-03-18,18:58:00,一食堂-大众窗口,食堂,11.89
T0000112,20240034,2026-03-04,07:43:00,二食堂-大众窗口,食堂,12.1
T0000113,20230097,2026-03-02,18:53:00,二食堂-面食窗口,食堂,11.66
T0000114,20220064,2026-03-21,12:31:00,二食堂-面食窗口,食堂,14.4
T0000115,20220016,2026-03-03,12:54:00,二食堂-面食窗口,食堂,14.93
T0000116,20250059,2026-03-08,17:02:00,一食堂-风味窗口,食堂,12.4
T0000117,20250031,2026-03-20,12:41:00,二食堂-大众窗口,食堂,11.15
T0000118,20220036,2026-03-03,08:48:00,一食堂-大众窗口,食堂,9.23
T0000119,20220032,2026-03-06,17:04:00,二食堂-面食窗口,食堂,12.46
T0000120,20230017,2026-03-13,17:20:00,二食堂-面食窗口,食堂,12.94
T0000121,20220092,2026-03-10,17:31:00,一食堂-风味窗口,食堂,20.21
T0000122,20220044,2026-03-07,11:32:00,二食堂-面食窗口,食堂,10.94
T0000123,20240002,2026-03-21,12:56:00,一食堂-大众窗口,食堂,14.86
T0000124,20250039,2026-03-20,17:57:00,二食堂-面食窗口,食堂,11.47
T0000125,20220076,2026-03-08,11:05:00,二食堂-面食窗口,食堂,10.49
T0000126,20230021,2026-03-09,08:00:00,一食堂-风味窗口,食堂,12.17
T0000127,20240018,2026-03-09,08:47:00,二食堂-面食窗口,食堂,15.39
T0000128,20250099,2026-03-18,18:34:00,二食堂-大众窗口,食堂,10.64
T0000129,20250079,2026-03-18,17:55:00,一食堂-风味窗口,食堂,18.59
T0000130,20230109,2026-03-02,08:58:00,一食堂-大众窗口,食堂,14.6
T0000131,20220056,2026-03-02,18:54:00,二食堂-面食窗口,食堂,15.12
T0000132,20220104,2026-03-14,12:51:00,二食堂-面食窗口,食堂,17.23
T0000133,20220056,2026-03-15,17:03:00,二食堂-大众窗口,食堂,9.93
T0000134,20240098,2026-03-06,13:56:00,一食堂-大众窗口,食堂,13.58
T0000135,20230117,2026-03-17,15:43:00,咖啡店,饮品,13.9
T0000136,20230085,2026-03-11,18:29:00,一食堂-大众窗口,食堂,13.73
T0000137,20250075,2026-03-05,12:46:00,二食堂-大众窗口,食堂,12.55
T0000138,20220008,2026-03-20,11:14:00,一食堂-风味窗口,食堂,20.69
T0000139,20240074,2026-03-03,19:51:00,奶茶店,饮品,14.46
T0000140,20250023,2026-03-16,08:40:00,一食堂-大众窗口,食堂,14.14
T0000141,20250031,2026-03-12,13:50:00,一食堂-大众窗口,食堂,11.72
T0000142,20230061,2026-03-03,17:06:00,二食堂-大众窗口,食堂,12.26
T0000143,20250071,2026-03-19,18:46:00,二食堂-大众窗口,食堂,10.29
T0000144,20250019,2026-03-11,12:29:00,二食堂-大众窗口,食堂,11.62
T0000145,20240066,2026-03-06,18:36:00,二食堂-大众窗口,食堂,13.61
T0000146,20230085,2026-03-17,17:07:00,二食堂-大众窗口,食堂,10.14
T0000147,20220108,2026-03-02,12:59:00,一食堂-大众窗口,食堂,9.7
T0000148,20230065,2026-03-19,19:59:00,水果店,超市,22.67
T0000149,20230013,2026-03-16,11:08:00,一食堂-风味窗口,食堂,18.29
T0000150,20240042,2026-03-22,18:19:00,一食堂-风味窗口,食堂,19.73
T0000151,20220036,2026-03-13,08:41:00,一食堂-大众窗口,食堂,13.33
T0000152,20220072,2026-03-15,12:44:00,二食堂-大众窗口,食堂,8.03
T0000153,20220088,2026-03-22,18:09:00,二食堂-面食窗口,食堂,16.59
T0000154,20250115,2026-03-03,18:12:00,一食堂-大众窗口,食堂,8.96
T0000155,20250075,2026-03-22,12:09:00,二食堂-大众窗口,食堂,13.85
T0000156,20220112,2026-03-07,19:38:00,超市A,超市,14.37
T0000157,20220020,2026-03-08,13:57:00,一食堂-大众窗口,食堂,14.23
T0000158,20240066,2026-03-22,18:32:00,一食堂-大众窗口,食堂,9.47
T0000159,20220104,2026-03-08,18:30:00,二食堂-面食窗口,食堂,13.41
T0000160,20220048,2026-03-19,19:30:00,便利店,超市,4.87
T0000161,20240018,2026-03-19,12:21:00,二食堂-面食窗口,食堂,11.18
T0000162,20240082,2026-03-21,08:10:00,二食堂-大众窗口,食堂,13.34
T0000163,20250099,2026-03-15,10:49:00,咖啡店,饮品,21.54
T0000164,20230073,2026-03-09,11:53:00,二食堂-面食窗口,食堂,10.96
T0000165,20250111,2026-03-21,18:37:00,一食堂-大众窗口,食堂,9.23
T0000166,20230045,2026-03-03,17:36:00,一食堂-风味窗口,食堂,12.89
T0000167,20230021,2026-03-15,12:39:00,一食堂-风味窗口,食堂,16.94
T0000168,20250119,2026-03-12,18:29:00,二食堂-大众窗口,食堂,9.43
T0000169,20230037,2026-03-06,15:17:00,咖啡店,饮品,10.45
T0000170,20230005,2026-03-11,08:24:00,一食堂-大众窗口,食堂,11.21
T0000171,20250083,2026-03-04,13:45:00,一食堂-大众窗口,食堂,8.68
T0000172,20220100,2026-03-19,17:32:00,二食堂-大众窗口,食堂,12.56
T0000173,20220056,2026-03-20,08:19:00,一食堂-风味窗口,食堂,17.6
T0000174,20220044,2026-03-07,11:32:00,二食堂-面食窗口,食堂,10.94
T0000175,20230097,2026-03-12,18:06:00,二食堂-面食窗口,食堂,12.1
T0000176,20230057,2026-03-06,12:01:00,二食堂-面食窗口,食堂,12.42
T0000177,20240066,2026-03-12,17:39:00,二食堂-大众窗口,食堂,13.47
T0000178,20250051,2026-03-11,18:34:00,一食堂-风味窗口,食堂,16.65
T0000179,20220012,2026-03-12,07:10:00,一食堂-风味窗口,食堂,13.19
T0000180,20250039,2026-03-04,17:42:00,二食堂-面食窗口,食堂,14.86
T0000181,20220028,2026-03-05,11:26:00,一食堂-风味窗口,食堂,20.23
T0000182,20220088,2026-03-05,07:25:00,二食堂-大众窗口,食堂,13.9
T0000183,20240066,2026-03-09,15:34:00,超市A,超市,2.28
T0000184,20230041,2026-03-02,13:49:00,二食堂-大众窗口,食堂,13.62
T0000185,20240074,2026-03-04,07:00:00,一食堂-风味窗口,食堂,12.0
T0000186,20250099,2026-03-05,10:10:00,超市A,超市,6.46
T0000187,20240042,2026-03-16,18:01:00,二食堂-面食窗口,食堂,14.25
T0000188,20220116,2026-03-14,07:30:00,一食堂-大众窗口,食堂,9.57
T0000189,20220048,2026-03-12,18:30:00,一食堂-大众窗口,食堂,14.34
T0000190,20220008,2026-03-04,12:22:00,二食堂-面食窗口,食堂,10.3
T0000191,20220088,2026-03-03,08:32:00,二食堂-面食窗口,食堂,10.36
T0000192,20230085,2026-03-22,18:11:00,一食堂-风味窗口,食堂,13.91
T0000193,20240002,2026-03-22,17:41:00,一食堂-大众窗口,食堂,12.03
T0000194,20250063,2026-03-12,17:28:00,二食堂-面食窗口,食堂,16.7
T0000195,20230037,2026-03-17,08:47:00,二食堂-面食窗口,食堂,16.34
T0000196,20220088,2026-03-14,17:20:00,一食堂-大众窗口,食堂,14.12
T0000197,20250027,2026-03-11,18:50:00,一食堂-风味窗口,食堂,20.86
T0000198,20220108,2026-03-02,18:47:00,二食堂-大众窗口,食堂,13.02
T0000199,20220068,2026-03-11,18:11:00,一食堂-风味窗口,食堂,16.57
T0000200,20230057,2026-03-20,12:01:00,一食堂-大众窗口,食堂,8.75
T0000201,20220112,2026-03-17,17:04:00,二食堂-面食窗口,食堂,10.84
T0000202,20230045,2026-03-18,11:13:00,一食堂-风味窗口,食堂,14.58
T0000203,20240082,2026-03-04,12:31:00,一食堂-风味窗口,食堂,13.02
T0000204,20230073,2026-03-19,15:23:00,水果店,超市,25.43
T0000205,20230109,2026-03-13,13:10:00,二食堂-面食窗口,食堂,14.5
T0000206,20230109,2026-03-18,18:27:00,二食堂-面食窗口,食堂,16.26
T0000207,20250011,2026-03-07,15:58:00,超市A,超市,13.03
T0000208,20240022,2026-03-16,18:56:00,一食堂-风味窗口,食堂,16.17
T0000209,20250083,2026-03-02,11:00:00,二食堂-大众窗口,食堂,14.45
T0000210,20240062,2026-03-22,18:48:00,一食堂-风味窗口,食堂,17.38
T0000211,20250015,2026-03-04,18:38:00,一食堂-风味窗口,食堂,17.7
T0000212,20230117,2026-03-08,21:52:00,奶茶店,饮品,7.62
T0000213,20250083,2026-03-17,18:53:00,二食堂-大众窗口,食堂,9.06
T0000214,20220036,2026-03-11,18:55:00,一食堂-风味窗口,食堂,13.71
T0000215,20250095,2026-03-09,18:20:00,一食堂-大众窗口,食堂,13.64
T0000216,20250087,2026-03-14,19:35:00,超市A,超市,12.07
T0000217,20240006,2026-03-15,08:40:00,二食堂-大众窗口,食堂,12.32
T0000218,20250015,2026-03-09,12:45:00,一食堂-风味窗口,食堂,20.82
T0000219,20240034,2026-03-22,18:00:00,二食堂-面食窗口,食堂,15.33
T0000220,20230017,2026-03-15,17:30:00,一食堂-风味窗口,食堂,17.46
T0000221,20250055,2026-03-18,08:03:00,一食堂-大众窗口,食堂,12.06
T0000222,20250103,2026-03-14,11:10:00,一食堂-大众窗口,食堂,11.61
T0000223,20220056,2026-03-12,19:06:00,便利店,超市,7.26
T0000224,20230017,2026-03-06,18:35:00,二食堂-面食窗口,食堂,14.76
T0000225,20240078,2026-03-04,12:57:00,二食堂-面食窗口,食堂,17.84
T0000226,20230069,2026-03-16,07:16:00,二食堂-大众窗口,食堂,8.64
T0000227,20220060,2026-03-21,13:50:00,一食堂-风味窗口,食堂,14.62
T0000228,20220056,2026-03-13,18:58:00,二食堂-大众窗口,食堂,13.32
T0000229,20250075,2026-03-03,12:19:00,二食堂-大众窗口,食堂,8.06
T0000230,20230089,2026-03-15,18:28:00,一食堂-风味窗口,食堂,21.72
T0000231,20250119,2026-03-02,08:52:00,二食堂-面食窗口,食堂,13.64
T0000232,20250031,2026-03-02,18:16:00,一食堂-大众窗口,食堂,13.52
T0000233,20250055,2026-03-12,13:36:00,一食堂-大众窗口,食堂,9.55
T0000234,20230009,2026-03-05,08:30:00,二食堂-面食窗口,食堂,12.81
T0000235,20240082,2026-03-12,10:22:00,水果店,超市,13.21
T0000236,20250023,2026-03-22,19:46:00,水果店,超市,8.76
T0000237,20230069,2026-03-22,11:01:00,二食堂-面食窗口,食堂,17.92
T0000238,20220044,2026-03-18,21:41:00,咖啡店,饮品,8.61
T0000239,20240102,2026-03-09,08:21:00,一食堂-风味窗口,食堂,19.58
T0000240,20240082,2026-03-02,12:54:00,二食堂-面食窗口,食堂,17.31
T0000241,20250023,2026-03-03,12:44:00,二食堂-大众窗口,食堂,12.24
T0000242,20230101,2026-03-02,17:01:00,二食堂-面食窗口,食堂,14.88
T0000243,20240078,2026-03-12,08:32:00,二食堂-面食窗口,食堂,15.78
T0000244,20250043,2026-03-11,08:53:00,一食堂-风味窗口,食堂,15.55
T0000245,20240066,2026-03-18,07:35:00,二食堂-面食窗口,食堂,12.38
T0000246,20250083,2026-03-21,11:10:00,一食堂-大众窗口,食堂,10.01
T0000247,20230077,2026-03-19,12:26:00,二食堂-大众窗口,食堂,13.68
T0000248,20250047,2026-03-06,11:36:00,一食堂-风味窗口,食堂,14.26
T0000249,20240030,2026-03-04,12:21:00,二食堂-面食窗口,食堂,10.59
T0000250,20220080,2026-03-14,15:03:00,超市A,超市,11.98
T0000251,20250103,2026-03-20,12:07:00,二食堂-大众窗口,食堂,12.25
T0000252,20220024,2026-03-17,12:04:00,二食堂-大众窗口,食堂,14.72
T0000253,20240042,2026-03-22,12:26:00,二食堂-面食窗口,食堂,11.79
T0000254,20230065,2026-03-22,17:55:00,一食堂-大众窗口,食堂,11.81
T0000255,20230093,2026-03-21,12:02:00,二食堂-面食窗口,食堂,16.98
T0000256,20250119,2026-03-02,12:48:00,一食堂-大众窗口,食堂,14.63
T0000257,20240074,2026-03-08,18:56:00,二食堂-面食窗口,食堂,16.71
T0000258,20230073,2026-03-13,11:14:00,二食堂-面食窗口,食堂,15.16
T0000259,20250103,2026-03-09,17:56:00,一食堂-大众窗口,食堂,8.49
T0000260,20250059,2026-03-10,08:48:00,一食堂-风味窗口,食堂,15.35
T0000261,20220008,2026-03-13,17:02:00,二食堂-大众窗口,食堂,11.36
T0000262,20220032,2026-03-07,12:54:00,二食堂-面食窗口,食堂,11.42
T0000263,20220028,2026-03-03,18:32:00,一食堂-风味窗口,食堂,15.23
T0000264,20220028,2026-03-13,18:28:00,一食堂-风味窗口,食堂,18.34
T0000265,20250075,2026-03-04,19:04:00,咖啡店,饮品,16.64
T0000266,20220072,2026-03-11,13:51:00,二食堂-面食窗口,食堂,15.43
T0000267,20250107,2026-03-18,17:03:00,一食堂-风味窗口,食堂,14.51
T0000268,20230041,2026-03-17,08:22:00,二食堂-面食窗口,食堂,14.66
T0000269,20230109,2026-03-03,12:09:00,一食堂-大众窗口,食堂,14.71
T0000270,20220092,2026-03-08,12:39:00,一食堂-风味窗口,食堂,12.27
T0000271,20240014,2026-03-19,12:29:00,一食堂-风味窗口,食堂,18.4
T0000272,20220024,2026-03-07,18:28:00,一食堂-大众窗口,食堂,9.63
T0000273,20230037,2026-03-06,12:40:00,一食堂-大众窗口,食堂,9.54
T0000274,20230033,2026-03-11,12:12:00,一食堂-风味窗口,食堂,19.98
T0000275,20230045,2026-03-06,07:36:00,一食堂-大众窗口,食堂,9.75
T0000276,20250079,2026-03-05,08:19:00,二食堂-面食窗口,食堂,14.85
T0000277,20220096,2026-03-10,08:18:00,二食堂-面食窗口,食堂,12.16
T0000278,20230033,2026-03-05,11:04:00,一食堂-大众窗口,食堂,10.21
T0000279,20240106,2026-03-15,12:15:00,二食堂-面食窗口,食堂,16.5
T0000280,20220100,2026-03-05,18:58:00,一食堂-大众窗口,食堂,8.79
T0000281,20220100,2026-03-12,18:33:00,二食堂-大众窗口,食堂,11.12
T0000282,20230001,2026-03-04,10:56:00,便利店,超市,5.27
T0000283,20220012,2026-03-10,13:28:00,二食堂-大众窗口,食堂,14.48
T0000284,20240102,2026-03-17,12:15:00,二食堂-大众窗口,食堂,14.5
T0000285,20250071,2026-03-18,07:49:00,一食堂-风味窗口,食堂,13.61
T0000286,20250027,2026-03-16,08:30:00,二食堂-大众窗口,食堂,9.33
T0000287,20250079,2026-03-03,18:19:00,二食堂-大众窗口,食堂,10.32
T0000288,20250051,2026-03-13,13:09:00,二食堂-大众窗口,食堂,13.48
T0000289,20220048,2026-03-10,18:17:00,二食堂-面食窗口,食堂,12.44
T0000290,20250031,2026-03-05,17:03:00,一食堂-大众窗口,食堂,10.71
T0000291,20250075,2026-03-09,11:58:00,一食堂-风味窗口,食堂,20.4
T0000292,20220012,2026-03-14,18:59:00,一食堂-风味窗口,食堂,16.35
T0000293,20240050,2026-03-03,07:14:00,一食堂-风味窗口,食堂,12.54
T0000294,20230117,2026-03-07,18:01:00,二食堂-面食窗口,食堂,10.56
T0000295,20230017,2026-03-04,07:57:00,二食堂-面食窗口,食堂,17.1
T0000296,20240066,2026-03-04,11:17:00,一食堂-风味窗口,食堂,21.11
T0000297,20220092,2026-03-10,12:32:00,一食堂-风味窗口,食堂,15.0
T0000298,20230053,2026-03-16,13:36:00,二食堂-大众窗口,食堂,13.56
T0000299,20240098,2026-03-10,12:59:00,一食堂-风味窗口,食堂,18.3
T0000300,20250119,2026-03-21,12:43:00,一食堂-大众窗口,食堂,13.07
T0000301,20230081,2026-03-06,19:18:00,奶茶店,饮品,11.56
T0000302,20220040,2026-03-16,08:35:00,一食堂-大众窗口,食堂,9.83
T0000303,20220104,2026-03-12,18:36:00,一食堂-风味窗口,食堂,18.44
T0000304,20250055,2026-03-13,12:19:00,二食堂-面食窗口,食堂,14.85
T0000305,20240014,2026-03-05,08:28:00,二食堂-大众窗口,食堂,8.57
T0000306,20220052,2026-03-21,19:28:00,水果店,超市,16.15
T0000307,20240106,2026-03-03,17:15:00,二食堂-面食窗口,食堂,11.11
T0000308,20220084,2026-03-09,21:21:00,便利店,超市,18.92
T0000309,20250015,2026-03-11,11:27:00,二食堂-大众窗口,食堂,8.18
T0000310,20230053,2026-03-13,17:48:00,一食堂-风味窗口,食堂,17.91
T0000311,20220008,2026-03-11,12:10:00,一食堂-大众窗口,食堂,9.12
T0000312,20240006,2026-03-08,13:53:00,二食堂-大众窗口,食堂,12.36
T0000313,20230001,2026-03-10,15:41:00,水果店,超市,10.49
T0000314,20250015,2026-03-03,18:01:00,一食堂-大众窗口,食堂,8.32
T0000315,20240018,2026-03-04,17:12:00,一食堂-大众窗口,食堂,14.93
T0000316,20240082,2026-03-07,17:28:00,一食堂-大众窗口,食堂,9.68
T0000317,20240098,2026-03-22,17:56:00,一食堂-大众窗口,食堂,13.13
T0000318,20230069,2026-03-06,18:40:00,二食堂-面食窗口,食堂,14.49
T0000319,20220020,2026-03-11,08:24:00,二食堂-面食窗口,食堂,10.92
T0000320,20240118,2026-03-02,17:18:00,一食堂-风味窗口,食堂,13.81
T0000321,20250035,2026-03-13,19:44:00,便利店,超市,9.95
T0000322,20220072,2026-03-17,12:15:00,一食堂-风味窗口,食堂,20.46
T0000323,20240062,2026-03-09,12:42:00,二食堂-面食窗口,食堂,12.62
T0000324,20250051,2026-03-16,08:52:00,一食堂-大众窗口,食堂,11.58
T0000325,20240086,2026-03-10,11:35:00,一食堂-大众窗口,食堂,14.92
T0000326,20250039,2026-03-16,15:53:00,水果店,超市,22.68
T0000327,20240042,2026-03-17,21:56:00,咖啡店,饮品,23.68
T0000328,20250071,2026-03-16,15:34:00,咖啡店,饮品,9.95
T0000329,20240054,2026-03-06,07:33:00,一食堂-大众窗口,食堂,12.49
T0000330,20230025,2026-03-09,12:57:00,二食堂-大众窗口,食堂,14.5
T0000331,20220072,2026-03-05,12:47:00,二食堂-大众窗口,食堂,12.45
T0000332,20220060,2026-03-22,18:01:00,二食堂-大众窗口,食堂,12.74
T0000333,20230001,2026-03-14,07:02:00,一食堂-风味窗口,食堂,12.32
T0000334,20220024,2026-03-06,17:28:00,二食堂-面食窗口,食堂,15.93
T0000335,20240042,2026-03-20,12:16:00,二食堂-面食窗口,食堂,12.92
T0000336,20250111,2026-03-03,07:09:00,一食堂-风味窗口,食堂,12.77
T0000337,20250119,2026-03-04,12:30:00,二食堂-大众窗口,食堂,8.1
T0000338,20240002,2026-03-09,07:23:00,二食堂-面食窗口,食堂,15.02
T0000339,20240030,2026-03-08,18:21:00,二食堂-面食窗口,食堂,13.42
T0000340,20240098,2026-03-13,07:51:00,一食堂-风味窗口,食堂,17.37
T0000341,20230037,2026-03-13,18:25:00,二食堂-大众窗口,食堂,14.85
T0000342,20250043,2026-03-07,13:21:00,二食堂-大众窗口,食堂,14.06
T0000343,20230013,2026-03-18,08:47:00,二食堂-面食窗口,食堂,14.54
T0000344,20250059,2026-03-10,17:27:00,一食堂-大众窗口,食堂,10.11
T0000345,20230101,2026-03-17,12:54:00,二食堂-面食窗口,食堂,16.86
T0000346,20230089,2026-03-20,18:49:00,一食堂-风味窗口,食堂,20.53
